City,Country,Latitude,Longitude,Date,Max Temp,Humidity,Cloudiness,Wind_Speed
dana point,us,32.74659552052188,-118.12176074211564,1519855080,62.0,62.0,1.0,10.0
vao,nc,-27.088291724892805,165.23242206581722,1519857751,1.0,92.0,20.0,5.0
busselton,au,-58.212700986308185,86.78242973298455,1519857760,62.0,100.0,0.0,11.0
hirara,jp,21.14441539974051,128.5414178278993,1519857748,69.0,100.0,0.0,19.0
qaqortoq,gl,63.92365283474689,-43.05719190499491,1519854600,46.0,39.0,8.0,4.0
lebu,cl,-29.737053208396617,-91.47597280637669,1519857793,54.0,60.0,64.0,2.0
vardo,no,87.53121275381989,38.768852359297995,1519857300,64.0,47.0,1.0,10.0
longyearbyen,sj,85.71059674170002,14.257706004665152,1519857978,-4.0,66.0,0.0,3.0
yumen,cn,38.167440144687106,95.49021265580427,1519857877,33.0,77.0,48.0,15.0
vaini,to,-54.20555059066761,-175.00917756260225,1519857777,59.0,57.0,0.0,4.0
rikitea,pf,-43.51176861998835,-122.80121687268675,1519857783,81.0,98.0,92.0,13.0
port alfred,za,-85.3649084632011,39.07163808213767,1519857659,69.0,92.0,92.0,4.0
mogadishu,so,-1.3989478559261386,50.02854073084893,1519857959,79.0,100.0,0.0,18.0
ushuaia,ar,-82.13120209142878,-24.96216801692367,1519855200,53.0,76.0,20.0,13.0
morant bay,jm,17.93890326677308,-76.59311909578398,1519857807,77.0,99.0,80.0,7.0
carnarvon,au,-28.1549028266135,85.7828031068143,1519857981,60.0,39.0,0.0,3.0
hermanus,za,-72.73764755332778,-0.4898969103600166,1519857779,49.0,96.0,0.0,2.0
putina,pe,-15.474346686273776,-69.75263241762656,1519857981,40.0,86.0,80.0,2.0
twentynine palms,us,34.567422178107066,-116.14777035306312,1519854960,69.0,21.0,1.0,1.0
matlock,gb,53.17114787239697,-1.7082791511769244,1519856400,23.0,92.0,75.0,14.0
thrissur,in,10.582031552579295,76.36340652662761,1519857983,76.0,69.0,0.0,9.0
santa rosalia,mx,27.413082939422424,-111.77024577912283,1519857984,46.0,93.0,20.0,8.0
rawson,ar,-48.88745995217721,-56.21573575134998,1519857985,78.0,22.0,0.0,10.0
bredasdorp,za,-54.82546509091166,19.69741603704705,1519857985,62.0,100.0,64.0,1.0
keti bandar,pk,20.37285932580218,64.56842017446215,1519857985,75.0,95.0,56.0,9.0
blagoyevo,ru,63.82225004848223,48.107077111839175,1519857986,12.0,79.0,80.0,7.0
ciudad bolivar,ve,7.240680203242178,-63.36673703988997,1519857987,88.0,41.0,68.0,11.0
nanortalik,gl,51.11965920827561,-41.36817425679797,1519857821,33.0,96.0,32.0,31.0
roma,au,-25.825066354733664,146.1767881506546,1519857788,24.0,92.0,92.0,3.0
mar del plata,ar,-53.51168094042643,-39.35261817357167,1519857804,72.0,33.0,0.0,19.0
roebourne,au,-24.27443235195777,118.8075327121291,1519857990,80.0,72.0,32.0,4.0
punta arenas,cl,-82.07426672997374,-112.75403510053727,1519857991,47.0,99.0,76.0,28.0
upernavik,gl,87.67253710631849,-42.6171534326304,1519857923,13.0,92.0,76.0,4.0
severo-kurilsk,ru,46.48546962951389,155.4447241531155,1519857992,27.0,100.0,64.0,28.0
shihezi,cn,43.46488898830759,85.66264751878032,1519857993,24.0,84.0,92.0,3.0
atuona,pf,2.9437759539653996,-147.12416038908208,1519857770,81.0,100.0,8.0,17.0
qaanaaq,gl,81.4162057057807,-74.21197447477464,1519857993,15.0,84.0,80.0,10.0
cape town,za,-50.98466203925939,0.33884714420858586,1519857725,63.0,93.0,48.0,10.0
hithadhoo,mv,-10.2043616555858,79.5125196391117,1519857994,84.0,100.0,92.0,7.0
ribeira grande,pt,38.91651286195858,-29.78439420801331,1519857995,56.0,100.0,92.0,11.0
matagami,ca,52.76015456440186,-77.09826458959029,1519857996,69.0,33.0,0.0,6.0
albany,au,-61.934454353123854,119.69979680352014,1519854840,57.0,30.0,75.0,10.0
mahina,pf,-16.704752307494843,-149.38396437296717,1519857997,80.0,42.0,0.0,8.0
conde,br,-13.03533941387927,-35.98019591755357,1519857997,80.0,84.0,92.0,9.0
kelso,gb,55.63396161231404,-2.3552295649289476,1519856100,44.0,81.0,90.0,17.0
hobart,au,-82.563622549657,135.03514222069123,1519857940,59.0,75.0,36.0,5.0
mazyr,by,51.944084309476295,28.943172041415266,1519857999,8.0,79.0,76.0,14.0
bluff,nz,-68.98260919281836,172.56892009869682,1519857789,81.0,82.0,44.0,7.0
mataura,pf,-37.79808803847805,-155.55721135083837,1519857771,69.0,82.0,92.0,4.0
chernyy yar,ru,47.93936970936829,45.808925898494266,1519857000,8.0,84.0,75.0,8.0
vagur,fo,60.292932989473485,-7.646472048116692,1519858000,36.0,100.0,44.0,15.0
bandarbeyla,so,9.81383535683122,53.4885569666846,1519858001,76.0,100.0,0.0,4.0
zhigansk,ru,70.80499632848762,121.08918575715956,1519858002,-23.0,70.0,24.0,3.0
tasiilaq,gl,61.78192304725047,-37.13915861756038,1519854600,23.0,49.0,20.0,1.0
castro,cl,-49.33572009178007,-86.60183421903612,1519858003,59.0,96.0,92.0,2.0
saint george,bm,37.916288798647656,-62.04610670538034,1519858004,25.0,66.0,0.0,1.0
dikson,ru,84.39750687911231,76.77433650907454,1519857784,1.0,88.0,56.0,12.0
lompoc,us,28.440180900356125,-128.8071398122484,1519857300,60.0,79.0,1.0,14.0
